"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"63"	"中"	"--"	"Solanaceae(茄科)"	"--"	"BR69-50"	"中"	"--"	"--"	"克山农科所引自CIP(1978年)"	"--"	"感束顶及皱缩花叶"	"--"	"白"	"国外"	"圆"	"tbr×phu"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00179"	"--"	"BR69-50"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"深"	"克山"	"浅紫"	"整齐"
"64"	"--"	"--"	"Solanaceae(茄科)"	"--"	"B-70-1872"	"中"	"--"	"--"	"克山农科所引自CIP(1978年)"	"12.6"	"感束顶,抗LR病毒"	"--"	"黄"	"国外"	"椭圆"	"tbr"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00180"	"--"	"B-70-1872"	"--"	"Solanum(茄属)"	"阿根廷"	"--"	"--"	"浅"	"克山"	"浅篮"	"--"
"65"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Cardinal"	"低"	"--"	"--"	"中央农业部种子局引自美国(1980年)"	"--"	"感束顶,对A病毒免疫"	"--"	"淡黄"	"国外"	"椭圆"	"Tulner/de Voress4-30-8×S.V.P55-89"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00181"	"--"	"Cardinal"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"克山"	"浅紫红"	"--"
"66"	"中"	"--"	"Solanaceae(茄科)"	"--"	"chamba Red"	"低"	"--"	"--"	"中国农科院引种室引自印度(1978年)"	"15.6"	"感束顶及花叶"	"--"	"白"	"国外"	"扁圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00182"	"--"	"chamba Red"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"克山"	"浅紫"	"--"
"67"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Colmo"	"低"	"--"	"--"	"中国农业部种子局引自荷兰"	"20.5"	"感束顶,抗A及Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"Zpc58-159×Zpc55-37"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00183"	"--"	"Colmo"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"克山"	"浅紫红"	"整齐"
"68"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Cornelia"	"低"	"--"	"--"	"原四川农科所引自东德"	"17.0"	"感卷叶及束顶"	"--"	"黄"	"国外"	"椭圆"	"[(Polanin×Ef-Stamm×Jubel)×Hindenburg]×Flava"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00184"	"--"	"Cornelia"	"--"	"Solanum(茄属)"	"西德1948-1952年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"69"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"cosima"	"高"	"--"	"--"	"中国农科院品资所引自西德(1979年)"	"12.9"	"感束顶"	"--"	"黄"	"国外"	"扁圆"	"S.T.2285/44×19175"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00185"	"--"	"cosima"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"浅"	"克山"	"浅篮紫"	"中"
"70"	"中"	"--"	"Solanaceae(茄科)"	"--"	"christa"	"中"	"--"	"--"	"中国农科院品资所引自西德"	"12.4"	"感束顶及花叶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00186"	"--"	"christa"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"浅篮紫"	"整齐"
"71"	"中"	"--"	"Solanaceae(茄科)"	"--"	"CuCulus"	"中"	"--"	"--"	"--"	"16.9"	"感花叶"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00187"	"--"	"CuCulus"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"浅"	"克山"	"紫"	"不整齐"
"72"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Culpa"	"高"	"--"	"--"	"中国农科院引自西德(1979年)"	"11.9"	"感束顶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00188"	"--"	"Culpa"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"浅粉紫"	"整齐"
"73"	"--"	"--"	"Solanaceae(茄科)"	"--"	"C.F.K-69-1"	"中"	"--"	"--"	"克山农科所引自CIP(1978年)"	"10.9"	"感束顶及皱缩花叶"	"--"	"黄"	"国外"	"圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00189"	"--"	"C.F.K-69-1"	"--"	"Solanum(茄属)"	"危地马拉"	"--"	"--"	"中"	"克山"	"浅紫"	"--"
"74"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Delta"	"高"	"--"	"--"	"中央农业部引自波兰(1955年)"	"18.0"	"感皱缩花叶及束顶"	"--"	"黄"	"国外"	"扁圆"	"Samling×Samliug"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00190"	"--"	"Delta"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"白"	"中"
"75"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Deodara"	"低"	"--"	"--"	"原四川省农科所引自苏联(1957年)"	"--"	"感花卷叶"	"--"	"白"	"国外"	"圆"	"Deutsches Reich×Jubel"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00191"	"--"	"Deodara"	"--"	"Solanum(茄属)"	"德国1913年育成"	"--"	"--"	"中"	"克山"	"紫红"	"--"
"76"	"--"	"--"	"Solanaceae(茄科)"	"--"	"Dorita 5187"	"低"	"--"	"--"	"中国农科院品资所引自加拿大(1978年)"	"--"	"感LR病毒"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00192"	"--"	"Dorita 5187"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"中"
"77"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Dutaka-wiec"	"中"	"--"	"--"	"沈阳农学院引自波兰(1955年)"	"16.0"	"感花皱叶"	"--"	"黄"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00193"	"--"	"Dutaka-wiec"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"78"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Early Rose"	"低"	"--"	"--"	"引自苏联(1932年)"	"12.0"	"感皱缩花叶,对X 及A病毒过敏"	"--"	"白"	"国外"	"长椭圆"	"Von Garnet Chili中选出"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00194"	"--"	"Early Rose"	"--"	"Solanum(茄属)"	"美国1861年育成"	"--"	"--"	"中"	"克山"	"白"	"中"
"79"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"EBA"	"高"	"--"	"--"	"中国农科院引种室引自罗马尼亚(1978年)"	"12.6"	"抗Y病毒,对A病毒免疫感LR病毒及束顶"	"--"	"淡黄"	"国外"	"扁圆"	"Eersteling×Bato"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00195"	"--"	"EBA"	"--"	"Solanum(茄属)"	"荷兰1966年育成"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"80"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Eersteling"	"低"	"--"	"--"	"中央农业部引入"	"12.0"	"轻感LR病毒,中感Y病毒及茎杂斑"	"--"	"淡黄"	"国外"	"椭圆"	"Early Primrose×King Kidney"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00196"	"--"	"Eersteling"	"--"	"Solanum(茄属)"	"英国1900年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"81"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Erntekrone"	"高"	"--"	"--"	"中国农科院品资所引自西德(1979年)"	"14.1"	"感束顶"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00197"	"--"	"Erntekrone"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"中"
"82"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Estima"	"低"	"--"	"--"	"中国农科院引种室引自阿根廷"	"11.9"	"感花叶,抗A及Y病毒"	"--"	"淡黄"	"国外"	"椭圆"	"Oldenburger51-640×G3014"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00198"	"--"	"Estima"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"83"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Fatima"	"低"	"--"	"--"	"中国农科院品资室引自西德"	"10.7"	"感 束顶及皱缩花叶"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00199"	"--"	"Fatima"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"--"	"不整齐"
"84"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Favovita"	"高"	"--"	"--"	"中央农业部种子局引自荷兰(1981年)"	"14.4"	"感束顶,抗Y病毒,对A病毒免疫,抗卷叶"	"--"	"淡黄"	"国外"	"长椭圆"	"Z.P.C50-35×Z.P.C55-37"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00200"	"--"	"Favovita"	"--"	"Solanum(茄属)"	"荷兰"	"--"	"--"	"浅"	"克山"	"浅篮紫"	"整齐"
"85"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Fichtel-gold"	"低"	"--"	"--"	"中国农科院作物所引自波兰(1957年)"	"12.0"	"感皱缩花叶及束顶"	"--"	"黄"	"国外"	"长椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00201"	"--"	"Fichtel-gold"	"--"	"Solanum(茄属)"	"德国"	"--"	"--"	"中"	"克山"	"浅篮紫"	"整齐"
"86"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Fink"	"中"	"--"	"--"	"原东北所引自东德"	"12.9"	"感卷叶"	"--"	"鲜黄"	"国外"	"长椭圆"	"Aquila×(Voran×Mittelfrube)"	"黄白"	"Solanum tuberosum L.(马铃薯)"	"MSG00202"	"--"	"Fink"	"--"	"Solanum(茄属)"	"东德1956年育成"	"--"	"--"	"浅"	"克山"	"紫"	"中"
"87"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Fita"	"高"	"--"	"--"	"中国农科院作物所引自波兰"	"13.0"	"感卷叶"	"--"	"鲜黄"	"国外"	"扁圆"	"(S.demissum×Peru×Herbstgelbe"	"黄白"	"Solanum tuberosum L.(马铃薯)"	"MSG00203"	"--"	"Fita"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"紫"	"整齐"
"88"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Fina"	"高"	"--"	"--"	"中国农科院品资所引自西德(1979年)"	"--"	"感束顶"	"--"	"黄"	"国外"	"扁圆"	"Samling×Demssum-bastard"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00204"	"--"	"Fina"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"--"	"克山"	"白"	"不整齐"
"89"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Flaming Starke"	"中"	"--"	"--"	"中国农科院作物所引自波兰(1959年)"	"16.4"	"感皱叶"	"--"	"乳白"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00205"	"--"	"Flaming Starke"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"深"	"克山"	"紫"	"不整齐"
"90"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Flisak"	"中"	"--"	"--"	"中央农业部种子局引自波兰(1980年)"	"--"	"感束顶"	"--"	"淡黄"	"国外"	"长椭圆"	"Stammg×Merkur"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00206"	"--"	"Flisak"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"凸"	"克山"	"白"	"中"
"91"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Flora"	"中"	"--"	"--"	"中国农科院作物所引自波兰"	"14.0"	"感皱缩花叶、黄斑花叶及束顶"	"--"	"淡黄"	"国外"	"椭圆"	"K×Starkeragis"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00207"	"--"	"Flora"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"浅"	"克山"	"深紫"	"--"
"92"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Flava"	"--"	"--"	"--"	"中国农科院作硪所引自波兰(1959年)"	"--"	"感X病毒,抗Y及卷叶"	"--"	"黄"	"国外"	"椭圆"	"Erdgold×Franshe"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00208"	"--"	"Flava"	"--"	"Solanum(茄属)"	"德国1931年育成"	"--"	"--"	"中"	"克山"	"白"	"--"
"93"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Fortuna"	"低"	"--"	"--"	"中国农科院作物所引自捷克(1960年)"	"18.0"	"抗X及卷叶病毒,感Y及束顶,带S病毒"	"--"	"黄"	"国外"	"长椭圆"	"Industrie×Wildling"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00209"	"--"	"Fortuna"	"--"	"Solanum(茄属)"	"西德"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"94"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Fruhbote"	"中"	"--"	"--"	"原东北农科所引自东德(1956年)"	"13.0"	"抗卷叶及Y病毒,感X .A及S病毒"	"--"	"黄"	"国外"	"椭圆"	"Juli×Sannenragis"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00210"	"--"	"Fruhbote"	"--"	"Solanum(茄属)"	"德国1935年育成"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"95"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Fruhmolle"	"中"	"--"	"--"	"原东北农科所引自东德(1956年)"	"16.0"	"感花叶"	"--"	"淡黄"	"国外"	"椭圆"	"Samling118×Jubel"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00211"	"--"	"Fruhmolle"	"--"	"Solanum(茄属)"	"德国1931年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"96"	"中早"	"--"	"Solanaceae(茄科)"	"--"	"Fundy"	"高"	"--"	"--"	"黑龙江省克山农科所引自加拿大(1978年)"	"13.1"	"感皱缩花叶"	"--"	"乳白"	"国外"	"椭圆"	"U.S.DA96-56×Keswick"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00212"	"--"	"Fundy"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"97"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Urgenta"	"中"	"感"	"中"	"--"	"13.6"	"--"	"中下"	"淡黄"	"国外"	"椭圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00832"	"中"	"Urgenta"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅少"	"--"	"浅紫"	"整齐"
"98"	"晚"	"--"	"Solanaceae(茄科)"	"有"	"Viking"	"高"	"感"	"大"	"--"	"10.2"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00833"	"差"	"Viking"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中多"	"--"	"--"	"整齐"
"99"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Warba(Canada)"	"中"	"感"	"中"	"--"	"11.2"	"--"	"中下"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00834"	"优"	"Warba(Canada)"	"紫红眼"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"深中"	"--"	"浅紫"	"不整齐"
"100"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Waseca"	"高"	"感"	"中"	"--"	"10.4"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00835"	"差"	"Waseca"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"深多"	"--"	"浅紫"	"整齐"
"101"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"White Pontiac"	"低"	"抗"	"中"	"--"	"11.0"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00836"	"中"	"White Pontiac"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中中"	"--"	"白"	"中"
"102"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"White Rose (B.C)"	"高"	"感"	"中"	"--"	"11.3"	"--"	"下"	"白"	"国外"	"长"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00837"	"差"	"White Rose (B.C)"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"中多"	"--"	"白"	"整齐"
"103"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"White Rural (N.Y)"	"低"	"感"	"中"	"--"	"10.7"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00838"	"--"	"White Rural (N.Y)"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"中中"	"--"	"浅紫"	"整齐"
"104"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Wis74-7"	"高"	"感"	"中"	"--"	"14.4"	"--"	"上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00839"	"差"	"Wis74-7"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"中中"	"--"	"白"	"整齐"
"105"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Wn316-1"	"中"	"抗"	"大"	"--"	"11.0"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00840"	"中"	"Wn316-1"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中"	"浅中"	"--"	"白"	"整齐"
"106"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Wn330-1"	"低"	"高抗"	"小"	"--"	"13.1"	"--"	"上"	"淡黄"	"国外"	"椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00841"	"差"	"Wn330-1"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"浅中"	"--"	"白"	"整齐"
"107"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Wn345-15"	"低"	"感"	"中"	"--"	"12.0"	"--"	"中上"	"淡黄"	"国外"	"长"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00842"	"优"	"Wn345-15"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"浅中"	"--"	"白"	"整齐"
"108"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Wn641-10"	"低"	"感"	"中"	"--"	"12.4"	"--"	"下"	"淡黄"	"国外"	"长"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00843"	"优"	"Wn641-10"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗糙"	"浅中"	"--"	"白"	"整齐"
"109"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Yanken Chipper"	"高"	"感"	"中"	"--"	"10.2"	"--"	"上"	"淡黄"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00844"	"差"	"Yanken Chipper"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"浅多"	"--"	"白"	"整齐"
"110"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Yukon Gold"	"高"	"感"	"中"	"--"	"13.5"	"--"	"中上"	"黄"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00845"	"中"	"Yukon Gold"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"浅少"	"--"	"白"	"整齐"
"111"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Yankee Supreme"	"高"	"感"	"中"	"--"	"15.2"	"--"	"上"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00846"	"中"	"Yankee Supreme"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"蓝紫"	"整齐"
"112"	"晚"	"弱"	"Solanaceae(茄科)"	"有"	"York"	"高"	"感"	"大"	"--"	"13.4"	"--"	"上"	"乳白"	"国外"	"长"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00847"	"差"	"York"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"浅少"	"--"	"白"	"整齐"
"113"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Yorker"	"低"	"感"	"中"	"--"	"10.1"	"--"	"中上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00848"	"--"	"Yorker"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"白"	"不整齐"
"114"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Guar row"	"中"	"感"	"中"	"--"	"12.4"	"--"	"下"	"黄"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00849"	"中"	"Guar row"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"蓝紫"	"不整齐"
"115"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Norking Russet"	"低"	"感"	"小"	"--"	"9.5"	"--"	"中上"	"白"	"国外"	"长"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00850"	"差"	"Norking Russet"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"粗网纹"	"浅中"	"--"	"紫"	"整齐"
"116"	"晚"	"--"	"Solanaceae(茄科)"	"有"	"Ya"	"低"	"感"	"大"	"--"	"10.2"	"--"	"中"	"白"	"国外"	"长"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00851"	"差"	"Ya"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"--"	"整齐"
"117"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Yank Sup"	"中"	"感"	"--"	"--"	"12.4"	"--"	"中上"	"--"	"国外"	"--"	"--"	"--"	"Solanum tuberosum L.(马铃薯)"	"MSG00852"	"差"	"Yank Sup"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"--"	"--"	"--"	"紫"	"--"
"118"	"--"	"--"	"Solanaceae(茄科)"	"--"	"67010-19Rk"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"黄"	"国外"	"椭圆"	"--"	"淡红"	"Solanum tuberosum L.(马铃薯)"	"MSG00853"	"--"	"67010-19Rk"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"光滑"	"中中"	"--"	"--"	"不整齐"
"119"	"中早"	"--"	"Solanaceae(茄科)"	"无"	"83-3012"	"低"	"感"	"中"	"--"	"15.6"	"--"	"--"	"黄"	"国外"	"长筒"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00854"	"--"	"83-3012"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅"	"--"	"--"	"不整齐"
"120"	"中早"	"弱"	"Solanaceae(茄科)"	"--"	"I-1124"	"低"	"抗"	"大"	"--"	"10.0"	"--"	"--"	"白"	"国外"	"圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00855"	"--"	"I-1124"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"中中"	"--"	"白"	"中"
"121"	"中晚"	"--"	"Solanaceae(茄科)"	"有"	"783-1"	"高"	"抗"	"--"	"--"	"13.0"	"--"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00856"	"--"	"783-1"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"--"	"中少"	"--"	"白"	"整齐"
"122"	"中早"	"--"	"Solanaceae(茄科)"	"有"	"78-23"	"低"	"感"	"--"	"--"	"13.2"	"--"	"--"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00857"	"--"	"78-23"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"--"	"浅"	"--"	"--"	"中"
"123"	"早"	"无"	"Solanaceae(茄科)"	"无"	"鲁马铃薯1号"	"高"	"--"	"中"	"--"	"13.2"	"--"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00858"	"优"	"LU MA LING SHU 1 HAO"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中中"	"--"	"白"	"整齐"
"124"	"中晚"	"弱"	"Solanaceae(茄科)"	"感"	"中心24"	"中"	"中抗"	"大"	"--"	"15.1"	"--"	"--"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00859"	"差"	"ZHONG XIN 24"	"--"	"Solanum(茄属)"	"加拿大"	"感"	"光滑"	"浅少"	"--"	"蓝紫"	"整齐"
"125"	"中晚"	"无"	"Solanaceae(茄科)"	"感"	"Maris peer"	"高"	"中抗"	"中"	"--"	"14.9"	"--"	"--"	"白"	"国外"	"长椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00860"	"差"	"Maris peer"	"--"	"Solanum(茄属)"	"加拿大"	"感"	"光滑"	"浅"	"--"	"浅紫"	"整齐"
"126"	"晚"	"有"	"Solanaceae(茄科)"	"有"	"7XY.1"	"中"	"--"	"小"	"--"	"16.7"	"--"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00861"	"中"	"7XY.1"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅"	"--"	"紫"	"不整齐"
"127"	"晚"	"--"	"Solanaceae(茄科)"	"感"	"Yunoay"	"低"	"--"	"--"	"--"	"14.1"	"--"	"--"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00862"	"优"	"Yunoay"	"--"	"Solanum(茄属)"	"加拿大"	"感"	"微网纹"	"中中"	"--"	"紫"	"不整齐"
"128"	"中早"	"弱"	"Solanaceae(茄科)"	"无"	"吉干特"	"高"	"感"	"大"	"--"	"17.0"	"--"	"上"	"黄"	"国外"	"椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00863"	"中"	"JI GAN TE"	"引自荷兰"	"Solanum(茄属)"	"荷兰"	"无"	"光滑"	"浅少"	"--"	"白"	"整齐"
